#CODE;ENGLISH;;;;;;;;;;;;;x
EVTTITLEsoulmatesMSpouseStressGive;Giving a Helping Hand;;;;;;;;;;;;;x
EVTDESCsoulmates.4000;As the days pass, you notice that your spouse has become more and more listless. Things that used to amuse [Root.Spouse.GetHerHim] no longer have the same effect, and seeing [Root.Spouse.GetHerHim] with a long face has become a daily occurrence. Some of your courtiers had been overheard discussing the unseemly state of your [Root.Spouse.GetHusbandWife], which has finally prompted you to act. How should you approach this problem?;;;;;;;;;;;;;x
EVTOPTAsoulmates.4000;Perhaps a friendly spar with [Root.Spouse.GetFirstName] would do [Root.Spouse.GetHerHim] some good.;;;;;;;;;;;;;x
EVTOPTAATTsoulmates.4000;You take your [Root.Spouse.GetHusbandWife] out to the training yard, and the physical exertion relieves [Root.Spouse.GetHerHis] problems.;;;;;;;;;;;;;x
EVTOPTABTTsoulmates.4000;You take your [Root.Spouse.GetHusbandWife] out to the training yard, but do little more than get you both sweaty and exhausted...;;;;;;;;;;;;;x
EVTOPTBsoulmates.4000;The solution to every problem is at the bottom of a wine-glass.;;;;;;;;;;;;;x
EVTOPTBATTsoulmates.4000;You take your [Root.Spouse.GetHusbandWife] to a private party with ample amounts of alcohol, and drink your problems away.;;;;;;;;;;;;;x
EVTOPTBBTTsoulmates.4000;You take your [Root.Spouse.GetHusbandWife] to a private party with ample amounts of alcohol, and only manage to get an even bigger headache.;;;;;;;;;;;;;x
EVTOPTCsoulmates.4000;Perhaps the stars in the sky could show [Root.Spouse.GetHerHim] some guidance?;;;;;;;;;;;;;x
EVTOPTCATTsoulmates.4000;You take your [Root.Spouse.GetHusbandWife] to a stargazing outing on a clear night, and the solitude helps to clear [Root.Spouse.GetHerHis] mind.;;;;;;;;;;;;;x
EVTOPTCBTTsoulmates.4000;You take your [Root.Spouse.GetHusbandWife] to a stargazing outing on a clear night, but [Root.Spouse.GetSheHe] falls asleep rather quickly...;;;;;;;;;;;;;x
EVTOPTDsoulmates.4000;Some encouraging words ought to do the trick!;;;;;;;;;;;;;x
EVTOPTDATTsoulmates.4000;You try to inspire your [Root.Spouse.GetHusbandWife] with encouraging words, and it works.;;;;;;;;;;;;;x
EVTOPTDBTTsoulmates.4000;You try to inspire your [Root.Spouse.GetHusbandWife] with encouraging words, but nothing happens.;;;;;;;;;;;;;x
EVTOPTEsoulmates.4000;Perhaps it will simply pass with time.;;;;;;;;;;;;;x
